playerAn,playerId,avatarFile,choiceLabel,actionLabel,actionRound,sliderID,sliderText,sliderMin,sliderMax,sliderChoices,bufferLoop.thisRepN,bufferLoop.thisTrialN,bufferLoop.thisN,bufferLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,sbLoop.thisRepN,sbLoop.thisTrialN,sbLoop.thisN,sbLoop.thisIndex,sliders_1.thisRepN,sliders_1.thisTrialN,sliders_1.thisN,sliders_1.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,cB_1.started,cB_1.stopped,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.started,keyWelcome.stopped,out_0.keys,out_0.rt,out_0.started,out_0.stopped,cB_2.started,cB_2.stopped,textInstructions.started,textInstructions.stopped,keyInstructions.keys,keyInstructions.started,keyInstructions.stopped,out_1.keys,out_1.rt,out_1.started,out_1.stopped,cB_12.started,cB_12.stopped,textInstructions_2.started,textInstructions_2.stopped,keyInstructions_2.keys,keyInstructions_2.started,keyInstructions_2.stopped,out_3.keys,out_3.rt,out_3.started,out_3.stopped,cB.started,cB.stopped,typedWord,displayText.started,displayText.stopped,copyText.started,copyText.stopped,out.keys,out.started,out.stopped,cB_3.started,cB_3.stopped,textServer.started,textServer.stopped,keyServer.keys,keyServer.rt,keyServer.started,keyServer.stopped,out_2.keys,out_2.started,out_2.stopped,cB_4.started,cB_4.stopped,text_1.started,text_1.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,cB_5.started,cB_5.stopped,idle.started,idle.stopped,idle_2.started,idle_2.stopped,idle_3.started,idle_3.stopped,idle_4.started,idle_4.stopped,idle_5.started,idle_5.stopped,idle_6.started,idle_6.stopped,idle_7.started,idle_7.stopped,ilde_8.started,ilde_8.stopped,idle_9.started,idle_9.stopped,idle_10.started,idle_10.stopped,idle_11.started,idle_11.stopped,idle_12.started,idle_12.stopped,cB_6.started,cB_6.stopped,sBInstructions.started,sBInstructions.stopped,keySbInstructions.keys,keySbInstructions.rt,keySbInstructions.started,keySbInstructions.stopped,out_sb.keys,out_sb.started,out_sb.stopped,cB_8.started,cB_8.stopped,text.started,text.stopped,imagesbRnd.started,imagesbRnd.stopped,sbChoice.response,sbChoice.rt,sbChoice.history,sbChoice.started,sbChoice.stopped,text_6.started,text_6.stopped,cB_9.started,cB_9.stopped,totalMoney,paulMoney,lukasMoney,cbFb.started,cbFb.stopped,textFb.started,textFb.stopped,out_Fb.keys,out_Fb.started,out_Fb.stopped,cbBuf.started,cbBuf.stopped,fixCross.started,fixCross.stopped,cB_11.started,cB_11.stopped,rating.response,rating.rt,rating.started,rating.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.160753000003751,None,6.160753000003751,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_25_1441,so_be_u_00,3.2.4,58.29744638894705,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.5334361999994144,6.160753000003751,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_25_1441,so_be_u_00,3.2.4,58.29744638894705,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.710077299969271,None,6.710077299969271,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_25_1441,so_be_u_00,3.2.4,58.29744638894705,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.18822909996379167,6.710077299969271,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_25_1441,so_be_u_00,3.2.4,58.29744638894705,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.915048399998341,None,6.915048399998341,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_25_1441,so_be_u_00,3.2.4,58.29744638894705,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.15586719999555498,6.915048399998341,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_25_1441,so_be_u_00,3.2.4,58.29744638894705,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0877663000137545,None,111111,7.0877663000137545,None,7.0877663000137545,None,None,7.0877663000137545,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_25_1441,so_be_u_00,3.2.4,58.29744638894705,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.311812300002202,None,9.311812300002202,None,c,0.10232869995525107,11.280861700011883,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_25_1441,so_be_u_00,3.2.4,58.29744638894705,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,9.311812300002202,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_25_1441,so_be_u_00,3.2.4,58.29744638894705,
,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.399590099987108,None,11.399590099987108,12.409843100002035,12.375340899976436,12.887674500001594,12.870651100005489,13.382068999984767,13.382068999984767,13.896247099968605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Feb_25_1441,so_be_u_00,3.2.4,58.29744638894705,
