playerId,avatarFile,choiceLabel,actionLabel,actionRound,sliderID,sliderText,sliderMin,sliderMax,sliderChoices,bufferLoop.thisRepN,bufferLoop.thisTrialN,bufferLoop.thisN,bufferLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,sbLoop.thisRepN,sbLoop.thisTrialN,sbLoop.thisN,sbLoop.thisIndex,sliders_1.thisRepN,sliders_1.thisTrialN,sliders_1.thisN,sliders_1.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,cB_1.started,cB_1.stopped,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.started,keyWelcome.stopped,out_0.keys,out_0.rt,out_0.started,out_0.stopped,cB_2.started,cB_2.stopped,textInstructions.started,textInstructions.stopped,keyInstructions.keys,keyInstructions.started,keyInstructions.stopped,out_1.keys,out_1.rt,out_1.started,out_1.stopped,cB_3.started,cB_3.stopped,textServer.started,textServer.stopped,keyServer.keys,keyServer.started,keyServer.stopped,out_2.keys,out_2.rt,out_2.started,out_2.stopped,cB_4.started,cB_4.stopped,text_1.started,text_1.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,cB_5.started,cB_5.stopped,idle.started,idle.stopped,idle_2.started,idle_2.stopped,idle_3.started,idle_3.stopped,idle_4.started,idle_4.stopped,idle_5.started,idle_5.stopped,idle_6.started,idle_6.stopped,idle_7.started,idle_7.stopped,ilde_8.started,ilde_8.stopped,idle_9.started,idle_9.stopped,idle_10.started,idle_10.stopped,idle_11.started,idle_11.stopped,idle_12.started,idle_12.stopped,cB_6.started,cB_6.stopped,sBInstructions.started,sBInstructions.stopped,keySbInstructions.keys,keySbInstructions.started,keySbInstructions.stopped,out_sb.keys,out_sb.rt,out_sb.started,out_sb.stopped,cB_8.started,cB_8.stopped,text.started,text.stopped,imagesbRnd.started,imagesbRnd.stopped,Slider.response,Slider.rt,Slider.history,Slider.started,Slider.stopped,cB_9.started,cB_9.stopped,totalMoney,cbFb.started,cbFb.stopped,textFb.started,textFb.stopped,out_Fb.keys,out_Fb.started,out_Fb.stopped,cbBuf.started,cbBuf.stopped,fixCross.started,fixCross.stopped,cB_11.started,cB_11.stopped,rating.response,rating.rt,rating.started,rating.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Paul,images/avatar1.jpg,reciprocate,1,1,,,,,,,,,,0,0,0,14,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.726055399980396,None,24.726055399980396,None,24.726055399980396,None,2,1.741,"[('5', 0.0), ('4', 0.938), ('3', 1.212), ('2', 1.451), ('2', 1.741)]",0.012233200017362833,None,26.48098689998733,None,8,27.00868949998403,None,27.00868949998403,None,None,27.00868949998403,None,28.98767899995437,None,29.159747799974866,29.668233699980192,,,,,,,,001,2020_Feb_24_1218,so_be_u_00,3.2.4,58.69037133289877,
Lukas,images/avatar2.jpg,keep the investment,0,1,1,How much do you like Paul?,not at all,very much,1 2 3 4 5 6 7,,,,,0,0,0,14,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.95818469999358,None,5,3.749,0.012932499987073243,None,,001,2020_Feb_24_1218,so_be_u_00,3.2.4,58.69037133289877,
Lukas,images/avatar2.jpg,keep the investment,0,1,2,How much do you want to continue playing with Paul?,not at all,very much,1 2 3 4 5 6 7,,,,,0,0,0,14,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.74920789996395,None,5,1.056,0.015140999981667846,None,,001,2020_Feb_24_1218,so_be_u_00,3.2.4,58.69037133289877,
Lukas,images/avatar2.jpg,keep the investment,0,1,3,How much do you like Lukas?,not at all,very much,1 2 3 4 5 6 7,,,,,0,0,0,14,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.853658799955156,None,5,0.958,0.00047769997036084533,None,,001,2020_Feb_24_1218,so_be_u_00,3.2.4,58.69037133289877,
Lukas,images/avatar2.jpg,keep the investment,0,1,4,How much do you want to continue playing with Lukas?,not at all,very much,1 2 3 4 5 6 7,,,,,0,0,0,14,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.86147979996167,None,5,0.954,0.017018000013194978,None,,001,2020_Feb_24_1218,so_be_u_00,3.2.4,58.69037133289877,
Lukas,images/avatar2.jpg,keep the investment,0,1,5,How do you feel?,negative,positive,1 2 3 4 5 6 7,,,,,0,0,0,14,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.86351959995227,None,5,0.925,0.0051617999561131,None,,001,2020_Feb_24_1218,so_be_u_00,3.2.4,58.69037133289877,
Lukas,images/avatar2.jpg,keep the investment,0,1,6,How activated are you right now?,low,high,1 2 3 4 5 6 7,,,,,0,0,0,14,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.832767299958505,None,5,0.742,0.0054558999254368246,None,,001,2020_Feb_24_1218,so_be_u_00,3.2.4,58.69037133289877,
Lukas,images/avatar2.jpg,keep the investment,0,1,,,,,,,,,,0,0,0,14,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.584346499992535,None,,,,,,,,,,,,,,,,,,,,001,2020_Feb_24_1218,so_be_u_00,3.2.4,58.69037133289877,
Lukas,images/avatar2.jpg,keep the investment,0,1,,,,,,,,,,0,0,0,14,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.095489499974065,None,,,,,,,,,,,,,,,,,,,,001,2020_Feb_24_1218,so_be_u_00,3.2.4,58.69037133289877,
Lukas,images/avatar2.jpg,keep the investment,0,1,,,,,,,,,,0,0,0,14,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.590678399952594,None,,,,,,,,,,,,,,,,,,,,001,2020_Feb_24_1218,so_be_u_00,3.2.4,58.69037133289877,
